"Company Name","Address","City","State","Location ZIP Code","Phone","Fax Number Combined","Primary SIC Code","Primary SIC Description","Executive First Name","Executive Last Name","Executive Gender","Executive Title"
"Taurus Software","633 Quarry Rd","San Carlos","CA","94070","(650) 482-2010","Not Available","737206","Computer Software","","","",""
"Lana Health Inc","2261 Market St","San Francisco","CA","94114","(650) 505-5321","Not Available","737505","Online Services","Akshay","Kolte","Male","Chief Executive Officer"
"Velocity Software Inc","","Mountain View","CA","94040","(650) 964-9012","Not Available","737206","Computer Software","","","",""
"Woodware Systems","6277 Morgan Dr","Olive Branch","MS","38654","(662) 932-8470","Not Available","737206","Computer Software","Nick","Carter","Male","President"
"Agur LLC","4635 Westchester Ct","Peachtree Cor","GA","30096","(678) 468-6941","Not Available","737298","Prepackaged Software","Swarnanami","Ramachandran","","Owner"
"Psd Software","6480 Barberry Hill Dr","Gainesville","GA","30506","(678) 771-8534","Not Available","737206","Computer Software","","","",""
"Tnb Net","6200 Spring Mountain Rd","Las Vegas","NV","89146","(702) 222-6666","Not Available","737415","Internet Service","","","",""
"Fantasy Cruncher Inc","1980 Festival Plaza Dr # 210","Las Vegas","NV","89135","(702) 405-6360","Not Available","737108","Computer-Software Developers","David","Stetler","Male","Owner"
"Kash Icons","","Las Vegas","NV","89119","(702) 899-3504","Not Available","737415","Internet Service","Jasmine","Harrington","Female","Owner"
"Software To Fit LLC","7839 Glenister Dr","Springfield","VA","22152","(703) 451-1364","Not Available","737206","Computer Software","","","",""
"Infobelt Inc","4108 Park Rd","Charlotte","NC","28209","(704) 595-3979","Not Available","737206","Computer Software","Srini","Mannava","Male","Chief Executive Officer"
"Ekos Software Inc","2520 N Brevard St","Charlotte","NC","28205","(704) 973-5640","Not Available","737206","Computer Software","","","",""
"Crw Inc","2112 Maple Ave SW","Rome","GA","30161","(706) 236-7680","Not Available","737415","Internet Service","Allen","Turner","Male","President"
"Meta System","3155 Smith Ln # 25","Clearlake","CA","95422","(707) 289-6044","Not Available","737505","Online Services","Stephen","Rogge","Male","Owner"
"Hactopia LLC","11285 SW 211th St # 203","Miami","FL","33189","(707) 659-6720","Not Available","737206","Computer Software","Kennashka","Desilva","","Manager"
"Allegro Software LLC","4724 Country Club Dr","Rohnert Park","CA","94928","(707) 729-1611","Not Available","737206","Computer Software","","","",""
"Pennsylvania Software Inst","1930 Pennsylvania Ave","Fairfield","CA","94533","(707) 759-6488","Not Available","737206","Computer Software","","","",""
"Bliss Software Solutions","7601 San Rafael Dr","Buena Park","CA","90620","(714) 308-2305","Not Available","737206","Computer Software","","","",""
"Custom Elite Software","276 Robinson Dr","Tustin","CA","92782","(714) 357-7121","Not Available","737206","Computer Software","Philip","Houser","Male","Manager"
"Oppti Corp","1240 Rosecrans Ave # 120","Manhattan Beach","CA","90266","(714) 716-1275","Not Available","737206","Computer Software","Weston","Seid","Male","Chief Executive Officer"
"Spectrum","306 N 16 Suites A-D","Canon City","CO","81212","(719) 249-2084","Not Available","737415","Internet Service","","","",""
"Virtual Marketing LLC","7100 E Belleview Ave # 204","Greenwood Vlg","CO","80111","(720) 379-8078","Not Available","737415","Internet Service","","","",""
"Odyssey Software","275 Aiken","Ashville","PA","16613","(724) 940-4411","Not Available","737206","Computer Software","","","",""
"Pec Unlimited Solutions","4604 49th St N # 1256","St Petersburg","FL","33709","(727) 767-9708","Not Available","737505","Online Services","Phillip","Cooke","Male","Owner"
"Programming Plus","24 E 9th St","Lakewood","NJ","08701","(732) 730-7666","Not Available","737102","Computer Programming Services","Rivka","Brog","Female","Owner"
"Software Alliance LLC","1500 Saint Georges Ave","Avenel","NJ","07001","(732) 943-2068","Not Available","737206","Computer Software","","","",""
"Software & Engrng Associated","321 S Main St","Ann Arbor","MI","48104","(734) 369-3025","Not Available","737206","Computer Software","","","",""
"Postal Stuff","377 W Front St","Logan","OH","43138","(740) 216-4848","Not Available","737415","Internet Service","Phill","Miller","Male","Owner"
"Collectibles Software Sltns","2697 International Pkwy # 7","Virginia Beach","VA","23452","(757) 656-4511","Not Available","737206","Computer Software","","","",""
"Cebuana Online Variety Brwsng","3009 Hound Ct","Virginia Beach","VA","23453","(757) 778-1512","Not Available","737505","Online Services","Erwena","Schacht","","Manager"
"Bikes Online Inc","2711 Loker Ave W","Carlsbad","CA","92010","(760) 814-2370","Not Available","737505","Online Services","","","",""
"General Software Inc","4111 Central Ave NE # 208","Columbia Heights","MN","55421","(763) 205-3258","Not Available","737206","Computer Software","","","",""
"Education Networks Of American","7728 Mount Zion Blvd","Jonesboro","GA","30236","(770) 477-5941","Not Available","737415","Internet Service","","","",""
"Dea Management LLC","6215 Johns Creek Cmns","Johns Creek","GA","30097","(770) 674-1154","Not Available","737108","Computer-Software Developers","","","",""
"Misen Software LLC","2734 Cedar Dr","Lawrenceville","GA","30043","(770) 712-1072","Not Available","737206","Computer Software","Peter","Park","Male","Owner"
"Education Networks Of America","2920 Mount Zion Rd","Jonesboro","GA","30236","(770) 960-0526","Not Available","737415","Internet Service","","","",""
"Education Networks Of America","6340 Highway 42","Rex","GA","30273","(770) 968-7463","Not Available","737415","Internet Service","","","",""
"Education Networks Of America","5451 W Fayetteville Rd","College Park","GA","30349","(770) 991-3765","Not Available","737415","Internet Service","","","",""
"Education Networks Of America","6234 Garden Walk Blvd","Riverdale","GA","30274","(770) 996-4052","Not Available","737415","Internet Service","","","",""
"Russell's Software","314 W 101st Pl","Chicago","IL","60628","(773) 941-5558","Not Available","737206","Computer Software","","","",""
"Spectrum","","Carson City","NV","89705","(775) 200-0062","Not Available","737415","Internet Service","","","",""
"H P Software Inc","2713 S Justen Rd","Mchenry","IL","60050","(779) 220-9350","Not Available","737206","Computer Software","","","",""
"Software Tech Enterprises","20201 S La Grange Rd","Frankfort","IL","60423","(779) 333-7807","Not Available","737206","Computer Software","","","",""
"Sos","1867 West Ave","Miami Beach","FL","33139","(786) 618-2267","Not Available","737206","Computer Software","Luis","Gozales","Male","Owner"
"Katana Software","1189 S 800 E","Kaysville","UT","84037","(801) 447-9760","Not Available","737206","Computer Software","","","",""
"Hyperion Software LLC","989 N Hwy","Kaysville","UT","84037","(801) 719-6119","Not Available","737206","Computer Software","","","",""
"Fleetr Inc","80 Varick St # 6f","New York","NY","10013","(805) 341-8177","Not Available","737108","Computer-Software Developers","Rei","Vardi","Male","Owner"
"Sideline Safety","6104 Bay Club Ct","Bakersfield","CA","93312","(805) 536-1908","Not Available","737206","Computer Software","Todd","Ford","Male","Chief Executive Officer"
"Key Software Inc","40 W Cochran St","Simi Valley","CA","93065","(805) 624-7081","Not Available","737206","Computer Software","","","",""
"Unify Twin Inc","2800 Camino Dos Rios","Newbury Park","CA","91320","(805) 768-4040","Not Available","737206","Computer Software","Subesh","Narayenn","","Manager"
"Spectrum","","Kapolei","HI","96707","(808) 270-5034","Not Available","737415","Internet Service","","","",""
"Balanced Trade Internet","","Kailua Kona","HI","96740","(808) 329-5160","Not Available","737415","Internet Service","","","",""
"Lync Inc","7901 4th St N # 8203","St Petersburg","FL","33702","(813) 278-1089","Not Available","737108","Computer-Software Developers","Naga","Sadineni","Female","President"
"Owens Online","2907 W Bay To Bay Blvd","Tampa","FL","33629","(813) 443-6172","Not Available","737505","Online Services","","","",""
"Loio Inc","100 Duffy Ave","Hicksville","NY","11801","(814) 351-9366","Not Available","504509","Computer Software-Wholesale","Karyna","Pukaniuk","Female","President"
"Earth Link","1375 Peachtree St NE","Townville","PA","16360","(814) 967-2011","Not Available","737415","Internet Service","","","",""
"Dicomtech LLC Hbb","212 E 7th St","Kewanee","IL","61443","(815) 564-2281","Not Available","737415","Internet Service","Jorge","Sardnia","Male","Owner"
"Sparktech Software","1419 Beaudry Blvd","Glendale","CA","91208","(818) 330-9098","Not Available","737206","Computer Software","","","",""
"Eachbase LLC","17346 Index St","Granada Hills","CA","91344","(818) 847-7331","Not Available","737108","Computer-Software Developers","Gevorg","Isagulyan","Male","Chief Executive Officer"
"Mdc Software Solutions LLC","13722 Anderson Woods Dr","Houston","TX","77070","(832) 604-6641","Not Available","737206","Computer Software","","","",""
"Voip Solutions Inc","27309 Southwest Fwy","Rosenberg","TX","77471","(832) 945-3049","Not Available","737415","Internet Service","","","",""
"Castlecove Software LLC","1985 Riviera Dr # 103","Mt Pleasant","SC","29464","(843) 560-9151","Not Available","737206","Computer Software","Michael","Boland","Male","Manager"
"Core Decentralized Tech LLC","820 E Park Ave # I1000","Tallahassee","FL","32301","(850) 727-8105","Not Available","737108","Computer-Software Developers","","","",""
"Mach 5ive Software","7231 Birchcreek Rd","San Diego","CA","92119","(858) 472-1965","Not Available","737206","Computer Software","Christopher","Lannon","Male","Manager"
"Colliers Internet","1020 Veterans","Lexington","KY","40502","(859) 288-6846","Not Available","737415","Internet Service","","","",""
"Gemni Software","","Northfield","CT","06778","(860) 276-0012","Not Available","737206","Computer Software","","","",""
"D'69rs Diamond","Po Box 6074","South Hackensack","NJ","07606","(862) 297-5119","Not Available","737505","Online Services","Marie","Quast","Female","Owner"
"Exceed Broadband Satellite","634 Parkway","Gatlinburg","TN","37738","(865) 277-6000","Not Available","737415","Internet Service","","","",""
"Satco Banks Dial Up Internet","130 Ouachita 453","Camden","AR","71701","(870) 465-2210","Not Available","737415","Internet Service","","","",""
"Spectrum","140 W Valley Blvd # A","Rialto","CA","92376","(909) 354-5525","Not Available","737415","Internet Service","Thomas","Cathcart","Male","Chief Executive Officer"
"Dalix Inc","205 Russell St","City Of Industry","CA","91744","(909) 628-5757","Not Available","737206","Computer Software","","","",""
"Nestfix Software Solutions","2181 Sun Ridge Dr","Chino Hills","CA","91709","(909) 760-7208","Not Available","737206","Computer Software","Christopher","Pham","Male","Manager"
"Wifi Cafe Xpress","500 N Reilly Rd","Fayetteville","NC","28303","(910) 824-7458","Not Available","737415","Internet Service","","","",""
"Errick J Harmond Ntwrk","11 La Brea Blvd","Savannah","GA","31419","(912) 349-4028","Not Available","737415","Internet Service","Errick","Harmond","Male","Owner"
