"Company Name","Address","City","State","Location ZIP Code","Phone","Fax Number Combined","Primary SIC Code","Primary SIC Description","Executive First Name","Executive Last Name","Executive Gender","Executive Title"
"Celsius Network LLC","121 River St # 5","Hoboken","NJ","07030","(201) 824-2888","Not Available","737505","Online Services","Alexander","Mashinsky","Male","Manager"
"Internap Ntwrk Srv","755 Secaucus Rd","Secaucus","NJ","07094","(201) 866-6954","Not Available","737415","Internet Service","","","",""
"Spexbook Inc","1 S 1st St # 14e","Brooklyn","NY","11249","(202) 361-2813","Not Available","737206","Computer Software","Maythem","Alsodani","Male","Chief Executive Officer"
"Old Road Software Inc","13 Grove St","Ridgefield","CT","06877","(203) 403-3836","Not Available","737206","Computer Software","Michael","Austin","Male","Manager"
"Internap Networks","3355 S 120th Pl","Tukwila","WA","98168","(206) 241-1794","Not Available","737415","Internet Service","","","",""
"Rio Software LLC","","Lincolnville","ME","04849","(207) 763-3300","Not Available","737206","Computer Software","","","",""
"Spectrum","51 Main St # A-130","Westbrook","ME","04092","(207) 800-3145","Not Available","737415","Internet Service","","","",""
"Software LLC","","Post Falls","ID","83854","(208) 231-8662","Not Available","737206","Computer Software","","","",""
"Intermax Networks","610 Main Ave","St Maries","ID","83861","(208) 245-3932","Not Available","737415","Internet Service","","","",""
"Central Valley Internet LLC","110 W G St # B","Los Banos","CA","93635","(209) 710-0012","Not Available","737415","Internet Service","Aron","Galli","Male","Manager"
"Enova Online Svc Inc","1400 Broadway","New York","NY","10018","(212) 302-1839","Not Available","737505","Online Services","","","",""
"Retive Software Dev LLC","2964 Nostrand Ave","Brooklyn","NY","11229","(212) 812-2500","Not Available","737108","Computer-Software Developers","Abraham","Brown","Male","Manager"
"Unidos","7322 Harry Hines Blvd","Dallas","TX","75235","(214) 238-0989","Not Available","737206","Computer Software","","","",""
"Aplica Online","1025 Preston Rd","Plano","TX","75093","(214) 308-1979","Not Available","737505","Online Services","","","",""
"Wavemaker","4965 Preston Park Blvd # 825","Plano","TX","75093","(214) 501-2060","Not Available","737102","Computer Programming Services","Dania","Marthens","Female","Manager"
"Verizon Fios","620 Easton Rd","Warrington","PA","18976","(215) 491-2067","Not Available","737415","Internet Service","","","",""
"Wangyu Internet Cafe","128 N 10th St","Philadelphia","PA","19107","(215) 595-2062","Not Available","737415","Internet Service","","","",""
"Recover I T","","Fort Wayne","IN","46835","(219) 206-2169","Not Available","737102","Computer Programming Services","","","",""
"Bumblebee Broadband","10996 Four Seasons Pl # 100a","Crown Point","IN","46307","(219) 247-8714","Not Available","737415","Internet Service","","","",""
"Nitco","53 Jefferson St","Valparaiso","IN","46383","(219) 510-0035","Not Available","737415","Internet Service","","","",""
"Horizon Software Inc","300 E Church St","Libertyville","IL","60048","(224) 433-6311","Not Available","737206","Computer Software","","","",""
"Citadel Software Solutions","","Baton Rouge","LA","70807","(225) 960-1581","Not Available","737206","Computer Software","","","",""
"Macaw Digital Marketing","11595 Kelly Rd","Fort Myers","FL","33908","(239) 245-8015","Not Available","737415","Internet Service","","","",""
"Internet Of We LLC","813 SW 9","Cape Coral","FL","33991","(239) 424-8229","Not Available","737415","Internet Service","","","",""
"Bridge Internet","1326 Cape Coral Pkwy E","Cape Coral","FL","33904","(239) 471-2033","Not Available","737415","Internet Service","","","",""
"United Sports","339 Dean Dr","Rockville","MD","20851","(240) 386-8598","Not Available","737415","Internet Service","","","",""
"Relay Network","166 W Maple Rd","Birmingham","MI","48009","(248) 712-6156","Not Available","737415","Internet Service","","","",""
"Silver Fir Software Inc","53 Raft Island Dr NW","Gig Harbor","WA","98335","(253) 432-4446","Not Available","737206","Computer Software","","","",""
"Harris N Computer Corp","1701 Austin Ave","Waco","TX","76701","(254) 342-3266","Not Available","737206","Computer Software","","","",""
"Nimble The Software Co LLC","110 Southside Sq","Huntsville","AL","35801","(256) 469-7658","Not Available","737206","Computer Software","Michelle","Williams","Female","Chief Executive Officer"
"Thor Software Systems LLC","2310 Homestead Rd # C1","Los Altos","CA","94024","(262) 212-7138","Not Available","737206","Computer Software","Jan","Rosen","","Manager"
"Ihg Broadband Aggregation","2201 Meadow Ln","Pewaukee","WI","53072","(262) 408-2121","Not Available","737415","Internet Service","","","",""
"Mercury Broadband","610 E Eliza St","Schoolcraft","MI","49087","(269) 679-7281","Not Available","737415","Internet Service","","","",""
"Duo Broadband Time-Temperature","","Columbia","KY","42728","(270) 378-9000","Not Available","737415","Internet Service","","","",""
"Broadband Connect LLC","3288 Troutdale Hwy","Mouth Of Wilson","VA","24363","(276) 579-2336","Not Available","737415","Internet Service","","","",""
"Broadband Connect LLC","9495 Reedy Creek Rd","Bristol","VA","24202","(276) 696-0109","Not Available","737415","Internet Service","","","",""
"Doq Soft Inc","12808 W Airport Blvd","Sugar Land","TX","77478","(281) 201-8431","Not Available","737206","Computer Software","","","",""
"Amazon.Com Services LLC","8903 Warehouse Center Dr","Humble","TX","77338","(281) 446-1053","Not Available","737415","Internet Service","","","",""
"Datalink Broadband","806 Talisman Dr","Rosharon","TX","77583","(281) 915-5126","Not Available","737415","Internet Service","","","",""
"Intindini Inc","18 Bartol St","San Francisco","CA","94133","(301) 880-6205","Not Available","737206","Computer Software","","","",""
"Care Port","18578 Coastal Hwy","Rehoboth Beach","DE","19971","(302) 644-2707","Not Available","737206","Computer Software","","","",""
"Custom Recovery Pllc","445 Union Blvd # 201","Lakewood","CO","80228","(303) 593-0398","Not Available","737102","Computer Programming Services","","","",""
"Internet At Night","11 E Arizona Ave # 2115","Denver","CO","80210","(303) 997-5195","Not Available","737415","Internet Service","","","",""
"Trg","2200 N Commerce Pkwy # 100","Weston","FL","33326","(305) 442-8628","Not Available","737102","Computer Programming Services","","","",""
"Enroll Pro LLC","30 N Gould St # 23432","Sheridan","WY","82801","(307) 201-2388","Not Available","737206","Computer Software","Joshua","Duncan","Male","Owner"
"Internet Igods","","Sheridan","WY","82801","(307) 206-9026","Not Available","737415","Internet Service","","","",""
"Consult Connections","30 N Gould St Sheridan Way She","Sheridan","WY","82801","(307) 218-9961","Not Available","737505","Online Services","","","",""
"Pilvy LLC","","Sheridan","WY","82801","(307) 312-1600","Not Available","737206","Computer Software","","","",""
